"Property ID","Property Type","Listing Type","Bedrooms","Reporting Month","Occupancy Rate","Active Listing Nights","Currency","Revenue (USD)","Revenue Potential (USD)","ADR (USD)","Cleaning Fee Total (USD)","Number of Reservations","Reservation Days","Available Days","Blocked Days","Country","State","City","Postal Code","Neighborhood","Metropolitan Statistical Area","Latitude","Longitude","Active","Scraped During Month","Airbnb Property ID","Airbnb Host ID","Vrbo Property ID","Vrbo Host ID","Property Manager","Revenue (Native)","ADR (Native)","Revenue Potential (Native)","Cleaning Fee Total (Native)"
"abnb_50071185","House","Entire home/apt","2","8/1/2025","0.571429","21","usd","1895","1895","157.92","154","3","12","19","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97572","-89.63374","True","True","50071185","40158060","3325365","","DH Real Estate","35644.58","2970.38","35518.08","2972"
"abnb_50072597","House","Entire home/apt","3","8/1/2025","0.136364","22","usd","468","638.18","156","24","1","3","20","8","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97484","-89.62299","True","True","50072597","40158060","3325352","","DH Real Estate","8828.04","2942.68","11961.48","498"
"abnb_53321429","House","Entire home/apt","2","8/1/2025","0.625","16","usd","423","766.69","42.3","42","2","10","8","13","Mexico","Yucatan","Merida","","Merida Nord-Oeste Zona 1","","21.02829","-89.64478","True","True","53321429","185637552","","","","7870.13","787.01","14370.06","785"
"abnb_53330721","House","Private room","1","8/1/2025","0.967742","31","usd","386","386","12.87","49","8","30","1","0","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.94816","-89.64555","True","True","53330721","296791914","","","","7348.91","244.96","7234.82","1076"
"abnb_53337835","Hotel","Private room","1","8/1/2025","0.419355","31","usd","847","847","65.15","169","13","13","18","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.98029","-89.61476","True","True","53337835","124586020","","","","15863.47","1220.27","15875.36","3159"
"abnb_670108739396557077","Serviced apartment","Entire home/apt","1","8/1/2025","0.26087","23","usd","123","144.39","20.5","11","2","6","21","4","Mexico","Yucatan","Merida","","Merida Nord-Este Zona 1","","21.021738","-89.568785","True","True","670108739396557077","233770100","","","","2360.66","393.44","2706.33","222"
"abnb_670209937924921079","House","Entire home/apt","2","8/1/2025","0.863636","22","usd","1126","1586.61","59.26","0","5","19","3","9","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.9728807973","-89.6315852577","True","True","670209937924921079","469279049","","","","21162.35","1113.81","29737.94","0"
"abnb_670458397024852224","Guest suite","Entire home/apt","1","8/1/2025","0.391304","23","usd","416","560.69","46.22","40","2","9","14","8","Mexico","Yucatan","Merida","","Merida Norte Zona 2","","21.00594","-89.60997","True","True","670458397024852224","108630969","","","","7758.11","862.01","10509.01","782"
"abnb_670986030377891810","Vacation home","Entire home/apt","3","8/1/2025","0.368421","19","usd","1171","1910.6","167.29","96","2","7","12","12","Mexico","Yucatan","Merida","","","","21.0550501858","-89.6658976749","True","True","670986030377891810","79781214","","","","21980.21","3140.03","35810.43","1793"
"abnb_683903010763475847","Loft","Entire home/apt","1","8/1/2025","0.935484","31","usd","1998","1998","68.9","155","8","29","2","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.96945","-89.62328","True","True","683903010763475847","404213891","","","","37680.6","1299.33","37448.61","3168"
"abnb_683926120520503417","House","Entire home/apt","3","8/1/2025","0.111111","9","usd","279","496","279","74","1","1","23","7","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97419","-89.6227","True","True","683926120520503417","40022629","","","","5235.1","5235.1","9296.55","1386"
"abnb_684725895883451699","Guest suite","Private room","0","8/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.98678","-89.62655","True","True","684725895883451699","346830334","","","","0","0","0","0"
"abnb_39870085","House","Private room","1","8/1/2025","0.516129","31","usd","337","337","21.06","43","4","16","15","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.98885","-89.60233","True","True","39870085","58728896","","","","6572.02","410.75","6316.41","965"
"abnb_39874462","Guest suite","Private room","1","8/1/2025","0.714286","7","usd","159","704.14","31.8","15","2","5","2","24","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.9661841131","-89.6142829066","True","True","39874462","38659931","","","","3034.84","606.97","13197.79","336"
"abnb_39896124","House","Entire home/apt","3","8/1/2025","0.931034","29","usd","1643","1756.31","60.85","83","6","27","2","2","Mexico","Yucatan","Merida","","Merida Nord-Oeste Zona 1","","21.04122","-89.63912","True","True","39896124","307293632","","","","30923.27","1145.31","32918.55","1649"
"abnb_637691139458373082","Apartment","Entire home/apt","2","8/1/2025","0.225806","31","usd","359","359","51.29","35","1","7","24","0","Mexico","Yucatan","Merida","","Merida Nord-Este Zona 1","","21.03218","-89.58917","True","True","637691139458373082","180345472","","","","6727.48","961.07","6728.75","693"
"abnb_52260658","House","Entire home/apt","4","8/1/2025","1","30","usd","3362","3474.07","112.07","764","9","30","0","1","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.971413","-89.628372","True","True","52260658","29746135","","","","63135.5","2104.52","65114.67","14481"
