"Property ID","Property Type","Listing Type","Bedrooms","Reporting Month","Occupancy Rate","Active Listing Nights","Currency","Revenue (USD)","Revenue Potential (USD)","ADR (USD)","Cleaning Fee Total (USD)","Number of Reservations","Reservation Days","Available Days","Blocked Days","Country","State","City","Postal Code","Neighborhood","Metropolitan Statistical Area","Latitude","Longitude","Active","Scraped During Month","Airbnb Property ID","Airbnb Host ID","Vrbo Property ID","Vrbo Host ID","Property Manager","Revenue (Native)","ADR (Native)","Revenue Potential (Native)","Cleaning Fee Total (Native)"
"abnb_1380094831526328242","House","Entire home/apt","1","5/1/2025","0","16","usd","0","28.72","0","0","0","0","24","7","Mexico","Yucatan","Merida","","","","20.90064882","-89.63394078","True","True","1.38009E+18","678373276","","","","0","0","559.56","0"
"abnb_1380517274930702498","House","Entire home/apt","2","5/1/2025","0.064516","31","usd","328","328","164","86","2","2","29","0","Mexico","Yucatan","Merida","","Merida Sud Este","","20.9576493","-89.6104641","True","True","1.38052E+18","664090419","","","","6386.34","3193.17","6390.6","1674"
"abnb_17734803","House","Entire home/apt","3","5/1/2025","0.516129","31","usd","1387","1390","86.69","125","4","16","15","0","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.95575","-89.62601","True","True","17734803","71631007","","","","27088.59","1693.04","27082.13","2514"
"abnb_1221786933674682692","Apartment","Entire home/apt","1","5/1/2025","0.354839","31","usd","252","252","22.91","63","5","11","20","0","Mexico","Yucatan","Merida","","Merida Oeste","","21.01548","-89.65173","True","True","1.22179E+18","570813542","","","","4910.43","446.4","4909.85","1263"
"abnb_1221793166291946260","House","Entire home/apt","2","5/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Nord-Este Zona 1","","21.01737627","-89.58666197","True","True","1.22179E+18","592184548","","","Hponce Homes","0","0","0","0"
"abnb_1221844346695633647","House","Entire home/apt","2","5/1/2025","0.225806","31","usd","777","777","111","0","2","7","24","0","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.95893","-89.628","True","True","1.22184E+18","592184548","","","Hponce Homes","15081.43","2154.49","15138.72","0"
"abnb_1222013981094928548","House","Entire home/apt","3","5/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Norte Zona 1","","21.02018","-89.62318","True","True","1.22201E+18","595840268","","","","0","0","0","0"
"abnb_1222051642180451387","Apartment","Entire home/apt","0","5/1/2025","0.354839","31","usd","282","282","25.64","21","2","11","20","0","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.9606759","-89.6257993","True","True","1.22205E+18","377394202","","","","5549.83","504.53","5494.36","457"
"abnb_1222533205824833936","House","Entire home/apt","2","5/1/2025","0","19","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.9557866","-89.626761","True","True","1.22253E+18","68539592","","","","0","0","0","0"
"abnb_1222554439244892202","Apartment","Entire home/apt","2","5/1/2025","0.566667","30","usd","651","672.7","38.29","0","7","17","13","1","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.98224","-89.61787","True","True","1.22255E+18","111547267","","","Host / Alejandro","12624.52","742.62","13106.54","0"
"abnb_1222617703038757036","Apartment","Entire home/apt","1","5/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Nord-Oeste Zona 2","","21.0027241","-89.6225428","True","True","1.22262E+18","594592888","","","","0","0","0","0"
"abnb_1222664485174633220","House","Private room","0","5/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97845","-89.61726","True","True","1.22266E+18","575016779","","","","0","0","0","0"
"abnb_1222675823185990815","House","Private room","0","5/1/2025","0.833333","6","usd","279","279","55.8","15","1","5","26","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97905","-89.61634","True","True","1.22268E+18","575016779","","","","5517.83","1103.57","5435.91","350"
"abnb_1222687169386569128","House","Private room","0","5/1/2025","0.857143","7","usd","396","396","66","18","1","6","25","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97751","-89.61609","True","True","1.22269E+18","575016779","","","","7766.4","1294.4","7715.49","408"
"abnb_1222693416741645559","House","Private room","0","5/1/2025","0.5","22","usd","701","924.05","63.73","49","3","11","13","7","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97771","-89.6177","True","True","1.22269E+18","575016779","","","","13754.5","1250.41","18003.87","1048"
"abnb_1222701290644914740","House","Private room","0","5/1/2025","0.833333","6","usd","275","275","55","15","1","5","26","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.979","-89.61788","True","True","1.2227E+18","575016779","","","","5442.23","1088.45","5357.98","350"
"abnb_1222727949443503354","Condominium (condo)","Entire home/apt","2","5/1/2025","0.612903","31","usd","2237","2237","117.74","344","9","19","12","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.983892","-89.621621","True","True","1.22273E+18","60000817","","","","43617.26","2295.65","43584.7","6759"
"abnb_17225590","Apartment","Entire home/apt","2","5/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Norte Zona 2","","20.99989","-89.61057","True","True","17225590","114011438","","","","0","0","0","0"
"abnb_1239200688502543821","House","Private room","0","5/1/2025","0","0","usd","0","0","0","0","0","0","25","6","Mexico","Yucatan","Merida","","","","21.0034516","-89.6831833","True","True","1.2392E+18","101647081","","","","0","0","0","0"
"abnb_1239250567532088164","House","Entire home/apt","2","5/1/2025","0.516129","31","usd","2072","2072","129.5","190","6","16","15","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.98168","-89.62663","True","True","1.23925E+18","500470304","","","","40451.34","2528.21","40369.92","3729"
"abnb_1239279994226428387","House","Entire home/apt","3","5/1/2025","0.642857","14","usd","1181","2615.05","131.22","64","3","9","5","17","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.95626","-89.62947","True","True","1.23928E+18","312578725","","","","23138.9","2570.99","50950.4","1351"
"abnb_1153885426073114639","House","Private room","6","5/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Nord-Este Zona 1","","21.0248554","-89.5875769","True","True","1.15389E+18","49992597","","","","0","0","0","0"
"abnb_1154528612333254690","Condominium (condo)","Entire home/apt","1","5/1/2025","0.225806","31","usd","309","309","44.14","28","2","7","24","0","Mexico","Yucatan","Merida","","Merida Nord-Este Zona 1","","21.01521","-89.5816","True","True","1.15453E+18","191063215","","","","6156.33","879.48","6020.42","640"
"abnb_1079324515517793259","Apartment","Entire home/apt","1","5/1/2025","0.068966","29","usd","86","86","43","16","1","2","29","0","Mexico","Yucatan","Merida","","Merida Nord-Este Zona 2","","20.9974806","-89.5824932","True","True","1.07932E+18","175325072","","","","1661.44","830.72","1675.59","310"
"abnb_1079947313287904732","Apartment","Private room","0","5/1/2025","0.318182","22","usd","242","341","34.57","20","3","7","15","9","Mexico","Yucatan","Merida","","Merida Nord-Oeste Zona 2","","21.00789497","-89.62892108","True","True","1.07995E+18","327150441","","","","4775.06","682.15","6643.81","461"
"abnb_1183644742640037777","Condominium (condo)","Entire home/apt","1","5/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Norte Zona 2","","21.00242301","-89.62061612","True","True","1.18364E+18","203808581","","","","0","0","0","0"
"abnb_1183670740988852919","Apartment","Entire home/apt","1","5/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Nord-Oeste Zona 1","","21.03975145","-89.64409172","True","True","1.18367E+18","466287622","","","","0","0","0","0"
"abnb_1183989589564641214","Apartment","Entire home/apt","1","5/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Nord-Oeste Zona 1","","21.0419183","-89.6448596","True","True","1.18399E+18","584835949","","","","0","0","0","0"
